Barge, Owner, Type, Length, Width, Depth
AMT Trader, Anchor Marine Transportation Ltd, Submersible, 144.0, 36.0, 9.0
AMT Transporter, Anchor Marine Transportation Ltd, Submersible, 145.2, 32.0, 8.5
BG l2, Petrobras, Launch, 152.0, 36.6, 9.5
Boabarge 19, Fairmount Marine, Cargo, 176.0, 48.8, 10.97
Castoro 9, Saipem, Cargo, 100.0, 30.0, 7.0
Castoro XI, Saipem, Heavy duty cargo, 150.0, 40.0, 9.0
Castoro Sei, Saipem, Submersible, 152.0, 70.5, 29.8
CB4, NPCC, Launch, 89.2, 24.4, 5.9
Giant2, Smit, Submersible, 140.0, 36.0, 8.5
Goliat17, Neptun, Submersible, 100.0, 37.0, 7.0
H102, Heerema Marine Contractors, Cargo, 125.9, 25.6, 8.5
H103, Heerema Marine Contractors, Cargo, 76.0, 25.0, 4.9
H104, Heerema Marine Contractors, Cargo, 100.0, 25.0, 7.3
H105, Heerema Marine Contractors, Cargo, 91.4, 30.4, 7.6
H106, Heerema Marine Contractors, Cargo, 91.4, 30.4, 7.6
H107, Heerema Marine Contractors, Cargo, 91.4, 30.4, 7.6
H108, Heerema Marine Contractors, Cargo, 122.0, 36.6, 7.6
H109, Heerema Marine Contractors, Launch, 183.0, 47.2, 11.6
H110, Heerema Marine Contractors, Launch, 160.0, 42.0, 10.7
H111, Heerema Marine Contractors, Cargo, 91.4, 27.4, 6.1
H112, Heerema Marine Contractors, Cargo, 91.4, 27.4, 6.1
H113, Heerema Marine Contractors, Cargo, 91.4, 27.4, 6.1
H114, Heerema Marine Contractors, Launch, 160.0, 42.0, 10.7
H115, Heerema Marine Contractors, Submersible, 110.0, 30.4, 7.0
H401, Heerema Marine Contractors, Launch, 122.0, 36.6, 8.0
H402, Heerema Marine Contractors, launch, 122.0, 36.6, 7.6
H541, Heerema Marine Contractors, Launch, 165.0, 42.0, 10.75
H627, Heerema Marine Contractors, Launch, 176.8, 48.8, 11.0
H851, Heerema Marine Contractors, Launch, 260.0, 63.0, 15.0
L301, Heerema Marine Contractors, Cargo, 91.4, 27.4, 6.1
HDB-1003, Hyundai Heavy Industries, Cargo, 114.7, 29.4, 6.6
HDB-1006, Hyundai Heavy Industries, Launch, 168.3, 47.0, 9.5
HDB-1007, Hyundai Heavy Industries, Launch, 101.2, 27.4, 6.1
HDB-1008, Hyundai Heavy Industries, Cargo, 75.0, 18.0, 3.8
HDB-1011, Hyundai Heavy Industries, Sumbersible, 140.0, 37.0, 12.0
HDB-1012, Hyundai Heavy Industries, Sumbersible, 140.0, 37.0, 12.0
I-600, J Ray McDermott, Launch, 152.0, 36.6, 10.2
I-650, J Ray McDermott, Launch, 198.2, 51.8, 12.2
Intermac 600 (T-shape), J Ray McDermott, Launch, 198.0, 51.8/42.0, 12.2
ITC393, International Transport Contractors, Cargo, 120.0, 40.0, 7.5
LB1, NPCC, Launch, 131.8, 30.5, 7.9
LB2, NPCC, Launch, 130.0, 40.0, 9.0
MDL578, MDL, Cargo, 64.0, 22.0, 4.0
MDL737, MDL, Launch, 110.0, 30.0, 7.5
MDL744, MDL, Cargo, 76.0, 22.0, 5.3
Oceanic93, J Ray McDermott, Sponso, 137.2, 45.6, 9.1
Saipem 7000, Saipem, Submersible, 198.0, 87.0, 45.0
Seamac 1, Saipem, Submersible, 188.1, 54.9, 27.8
SB-103, Saipem, Launch, 114.0, 30.0, 8.5
S42, Saipem, Cargo, 114.0, 30.0, 8.5
S44, Saipem, Launch, 190.0, 50.0, 11.4
S45, Saipem, Launch, 180.0, 42.0, 11.5
S600, Saipem, Cargo, 183.0, 47.24, 11.58
Semco Giant VI, Semco, Cargo, 120.0, 40.0, 7.5
SLB1, SOCAR, Launch, 153.0, 45.0, 12.0
